client\scripts\generate-icons.js:1	<no-rule-id>	Unused eslint-disable directive (no problems were reported from 'no-undef').
client\src\context\SocketContext.tsx:30	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\context\SocketContext.tsx:30:17   28 |             if (socket) {   29 |                 socket.disconnect(); > 30 |                 setSocket(null);      |                 ^^^^^^^^^ Avoid calling setState() directly within an effect   31 |             }   32 |             return;   33 |         }
client\src\context\SocketContext.tsx:65	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'currentAccount' and 'socket'. Either include them or remove the dependency array.
client\src\context\SyncStatusContext.tsx:285	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\context\ThemeContext.tsx:118	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\context\ToastContext.tsx:27	react-hooks/refs	Error: Cannot access refs during render  React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef).  C:\Users\ratte\Desktop\OverSeekv2\client\src\context\ToastContext.tsx:27:5   25 | function ToastEntry({ item, onRemove }: { item: ToastItem; onRemove: (id: number) => void }) {   26 |     const onRemoveRef = useRef(onRemove); > 27 |     onRemoveRef.current = onRemove;      |     ^^^^^^^^^^^^^^^^^^^ Cannot update ref during render   28 |   29 |     useEffect(() => {   30 |         const timer = setTimeout(() => onRemoveRef.current(item.id), item.duration);
client\src\context\ToastContext.tsx:87	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\hooks\useApiQuery.ts:129	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useApiQuery.ts:129:9   127 |         let cancelled = false;   128 | > 129 |         executeFetch().catch(() => {       |         ^^^^^^^^^^^^ Avoid calling setState() directly within an effect   130 |             if (cancelled) return;   131 |         });   132 |
client\src\hooks\useBackgroundFetch.ts:1	@typescript-eslint/no-unused-vars	'useEffect' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\hooks\useCannedResponses.ts:122	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useCannedResponses.ts:122:9   120 |   121 |     useEffect(() => { > 122 |         fetchCanned();       |         ^^^^^^^^^^^ Avoid calling setState() directly within an effect   123 |     }, [fetchCanned]);   124 |   125 |     // Filter by shortcut, content, or label name
client\src\hooks\useCommandPalette.tsx:56	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\hooks\useConversationPresence.ts:34	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useConversationPresence.ts:34:13   32 |     useEffect(() => {   33 |         if (!socket || !conversationId || !user) { > 34 |             setViewers([]);      |             ^^^^^^^^^^ Avoid calling setState() directly within an effect   35 |             return;   36 |         }   37 |
client\src\hooks\useDrafts.ts:42	react-hooks/refs	Error: Cannot access refs during render  React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useDrafts.ts:42:18   40 |     // Create the debounced writer exactly once and reuse it.   41 |     const debouncedSaveRef = useRef( > 42 |         debounce(() => {      |                  ^^^^^^^ > 43 |             const { conversationId, content } = latestArgsRef.current;      | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 44 |             if (conversationId) writeDraft(conversationId, content);      | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 45 |         }, 500)      | ^^^^^^^^^^ Passing a ref to a function may read its value during render   46 |     );   47 |   48 |     // Cleanup on unmount
client\src\hooks\useLoadingTimeout.ts:51	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useLoadingTimeout.ts:51:13   49 |     useEffect(() => {   50 |         if (!isLoading) { > 51 |             setHasTimedOut(false);      |             ^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect   52 |             return;   53 |         }   54 |
client\src\hooks\useMessageSend.ts:230	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'isLiveChat'. Either include it or remove the dependency array.
client\src\hooks\useMobile.ts:1	@typescript-eslint/no-unused-vars	'useEffect' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\hooks\useMobile.ts:1	@typescript-eslint/no-unused-vars	'useState' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\hooks\usePODraftPersistence.ts:144	react-hooks/exhaustive-deps	React Hook useEffect has a complex expression in the dependency array. Extract it to a separate variable so it can be statically checked.
client\src\hooks\usePODraftPersistence.ts:144	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'formState'. Either include it or remove the dependency array.
client\src\hooks\usePODraftPersistence.ts:158	react-hooks/refs	Error: Cannot access refs during render  React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\usePODraftPersistence.ts:158:19   156 |         loadDraft,   157 |         clearDraft, > 158 |         hasDraft: hasDraftRef.current,       |                   ^^^^^^^^^^^^^^^^^^^ Cannot access ref value during render   159 |     };   160 | }   161 |
client\src\hooks\usePODraftPersistence.ts:158	react-hooks/refs	Error: Cannot access refs during render  React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\usePODraftPersistence.ts:158:19   156 |         loadDraft,   157 |         clearDraft, > 158 |         hasDraft: hasDraftRef.current,       |                   ^^^^^^^^^^^^^^^^^^^ Cannot access ref value during render   159 |     };   160 | }   161 |
client\src\hooks\usePWA.ts:86	react-hooks/immutability	Error: Cannot access variable before it is declared  `checkPendingActions` is accessed before it is declared, which prevents the earlier access from updating when this value changes over time.  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\usePWA.ts:86:17   84 |             if (data?.type === 'SYNC_COMPLETE') {   85 |                 // Refresh pending count after sync > 86 |                 checkPendingActions();      |                 ^^^^^^^^^^^^^^^^^^^ `checkPendingActions` accessed before it is declared   87 |             }   88 |   89 |             if (data?.type === 'DASHBOARD_REFRESHED') {  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\usePWA.ts:112:5   110 |   111 |     // Check pending actions count > 112 |     const checkPendingActions = useCallback(async () => {       |     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 113 |         try {       | ^^^^^^^^^^^^^ > 114 |             const request = indexedDB.open('overseek-offline', 1);       …       | ^^^^^^^^^^^^^ > 128 |         }       | ^^^^^^^^^^^^^ > 129 |     }, []);       | ^^^^^^^^^^^^ `checkPendingActions` is declared here   130 |   131 |     // Queue an action to be synced when online   132 |     const queueOfflineAction = useCallback(async (action: OfflineAction): Promise<boolean> => {
client\src\hooks\usePWA.ts:109	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'checkPendingActions'. Either include it or remove the dependency array.
client\src\hooks\usePWA.ts:214	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\usePWA.ts:214:9   212 |         const isIOSPWA = window.navigator.standalone === true;   213 | > 214 |         setIsPWA(isStandalone || isFullscreen || isIOSPWA);       |         ^^^^^^^^ Avoid calling setState() directly within an effect   215 |     }, []);   216 |   217 |     return isPWA;
client\src\hooks\useRelativeTime.ts:13	react-hooks/exhaustive-deps	React Hook useMemo has a complex expression in the dependency array. Extract it to a separate variable so it can be statically checked.
client\src\hooks\useRelativeTime.ts:13	react-hooks/exhaustive-deps	React Hook useMemo has a missing dependency: 'date'. Either include it or remove the dependency array.
client\src\hooks\useRelativeTime.ts:18	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useRelativeTime.ts:18:24   16 |   17 |     useEffect(() => { > 18 |         if (!dateMs) { setText(''); return; }      |                        ^^^^^^^ Avoid calling setState() directly within an effect   19 |   20 |         const d = new Date(dateMs);   21 |         setText(formatTimeAgo(d));
client\src\hooks\useSavedViews.ts:5	@typescript-eslint/no-unused-vars	'useEffect' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\hooks\useTabLeader.ts:92	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\hooks\useTabLeader.ts:92:13   90 |         if (typeof BroadcastChannel === 'undefined') {   91 |             // Fallback: this tab is always leader > 92 |             setIsLeader(true);      |             ^^^^^^^^^^^ Avoid calling setState() directly within an effect   93 |             return;   94 |         }   95 |
client\src\hooks\useViewTransition.ts:1	@typescript-eslint/no-unused-vars	'useEffect' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\layouts\AnalyticsLayout.tsx:1	@typescript-eslint/no-unused-vars	'useState' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\layouts\AnalyticsLayout.tsx:5	@typescript-eslint/no-unused-vars	'LogOut' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\layouts\AnalyticsLayout.tsx:5	@typescript-eslint/no-unused-vars	'Search' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminAccountsPage.tsx:6	@typescript-eslint/no-unused-vars	'X' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminAccountsPage.tsx:59	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchAccounts'. Either include it or remove the dependency array.
client\src\pages\admin\AdminAIPromptsPage.tsx:95	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchPrompts'. Either include it or remove the dependency array.
client\src\pages\admin\AdminBroadcastPage.tsx:4	@typescript-eslint/no-unused-vars	'Info' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminBroadcastPage.tsx:4	@typescript-eslint/no-unused-vars	'MessageSquare' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminBroadcastPage.tsx:4	@typescript-eslint/no-unused-vars	'AlertTriangle' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminCredentialsPage.tsx:81	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'authHeaders'. Either include it or remove the dependency array.
client\src\pages\admin\AdminCredentialsPage.tsx:98	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'authHeaders'. Either include it or remove the dependency array.
client\src\pages\admin\AdminCredentialsPage.tsx:132	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'authHeaders'. Either include it or remove the dependency array.
client\src\pages\admin\AdminCredentialsPage.tsx:148	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'authHeaders'. Either include it or remove the dependency array.
client\src\pages\admin\AdminCredentialsPage.tsx:184	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'authHeaders'. Either include it or remove the dependency array.
client\src\pages\admin\AdminCredentialsPage.tsx:230	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'authHeaders'. Either include it or remove the dependency array.
client\src\pages\admin\AdminCredentialsPage.tsx:248	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'token'. Either include it or remove the dependency array.
client\src\pages\admin\AdminLogsPage.tsx:5	@typescript-eslint/no-unused-vars	'cn' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminLogsPage.tsx:47	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\pages\admin\AdminLogsPage.tsx:47:9   45 |   46 |     useEffect(() => { > 47 |         fetchLogs(page, limit);      |         ^^^^^^^^^ Avoid calling setState() directly within an effect   48 |     }, [token, page, limit]); // Re-fetch when page changes   49 |   50 |     return (
client\src\pages\admin\AdminLogsPage.tsx:48	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchLogs'. Either include it or remove the dependency array.
client\src\pages\admin\AdminSettingsPage.tsx:4	@typescript-eslint/no-unused-vars	'ToggleRight' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminSettingsPage.tsx:4	@typescript-eslint/no-unused-vars	'ToggleLeft' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\admin\AdminSettingsPage.tsx:111	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'fetchPlatformSettings' and 'fetchStatus'. Either include them or remove the dependency array.
client\src\pages\analytics\AnalyticsOverviewPage.tsx:38	@typescript-eslint/no-unused-vars	'loading' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\analytics\AnalyticsOverviewPage.tsx:154	@typescript-eslint/no-unused-vars	'i' is defined but never used. Allowed unused args must match /^_/u.
client\src\pages\analytics\AnalyticsOverviewPage.tsx:179	@typescript-eslint/no-unused-vars	'i' is defined but never used. Allowed unused args must match /^_/u.
client\src\pages\analytics\RevenuePage.tsx:3	@typescript-eslint/no-unused-vars	'useOutletContext' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\CustomersPage.tsx:6	@typescript-eslint/no-unused-vars	'RefreshCw' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\CustomersPage.tsx:6	@typescript-eslint/no-unused-vars	'Loader2' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\CustomersPage.tsx:33	@typescript-eslint/no-unused-vars	'totalItems' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\CustomersPage.tsx:48	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchCustomers'. Either include it or remove the dependency array.
client\src\pages\HelpCenter\HelpCenterHome.tsx:1	@typescript-eslint/no-unused-vars	'useState' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\mobile\MobileAnalytics.tsx:31	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchAnalytics'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileCustomerDetail.tsx:73	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchCustomer'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileCustomers.tsx:115	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchCustomers'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileDashboard.tsx:115	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchDashboardData'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileInbox.tsx:71	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchConversations'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileInbox.tsx:93	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'fetchConversations' and 'triggerHaptic'. Either include them or remove the dependency array.
client\src\pages\mobile\MobileInventory.tsx:48	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchProducts'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileOrderDetail.tsx:101	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchOrder'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileOrderDetail.tsx:171	@typescript-eslint/no-unused-vars	'formatMoney' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\mobile\MobileOrderDetail.tsx:442	@typescript-eslint/no-unused-vars	'extractImageUrl' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\mobile\MobileOrders.tsx:83	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchOrders'. Either include it or remove the dependency array.
client\src\pages\mobile\MobileSettings.tsx:23	@typescript-eslint/no-unused-vars	'SettingItem' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\mobile\useMobileChat.ts:83	react-hooks/exhaustive-deps	The 'customerContext' conditional could make the dependencies of useCallback Hook (at line 277) change on every render. Move it inside the useCallback callback. Alternatively, wrap the initialization of 'customerContext' in its own useMemo() Hook.
client\src\pages\ReportsPage.tsx:6	@typescript-eslint/no-unused-vars	'LayoutGrid' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\ReportsPage.tsx:6	@typescript-eslint/no-unused-vars	'PieChart' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\ReportsPage.tsx:6	@typescript-eslint/no-unused-vars	'BarChart3' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\ReportsPage.tsx:14	@typescript-eslint/no-unused-vars	'getComparisonRange' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\pages\ReportsPage.tsx:65	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'fetchData' and 'fetchTemplates'. Either include them or remove the dependency array.
client\src\pages\SeoPage.tsx:42	react-hooks/exhaustive-deps	The 'sites' logical expression could make the dependencies of useEffect Hook (at line 54) change on every render. To fix this, wrap the initialization of 'sites' in its own useMemo() Hook.
client\src\pages\SeoPage.tsx:52	react-hooks/set-state-in-effect	Error: Calling setState synchronously within an effect can trigger cascading renders  Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes.  Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).  C:\Users\ratte\Desktop\OverSeekv2\client\src\pages\SeoPage.tsx:52:13   50 |             // Use the persisted default if it's still in the connected sites list   51 |             const validDefault = defaultUrl && sites.some((s: { siteUrl: string }) => s.siteUrl === defaultUrl); > 52 |             setSelectedSiteUrl(validDefault ? defaultUrl : sites[0].siteUrl);      |             ^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect   53 |         }   54 |     }, [sites, selectedSiteUrl, status.data?.defaultSiteUrl]);   55 |
client\src\types\lexical.d.ts:107	@typescript-eslint/no-unused-vars	'EditorState' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
